id,text,category,topic
1,"O Sistema Solar é composto por 8 planetas oficiais: Mercúrio, Vênus, Terra, Marte, Júpiter, Saturno, Urano e Netuno. Plutão foi reclassificado como planeta anão em 2006.",sistema_solar,planetas
2,Mercúrio é o planeta mais próximo do Sol e tem temperaturas extremas: 430°C de dia e -180°C à noite. É o menor planeta do Sistema Solar e não tem atmosfera significativa.,mercurio,planetas
3,Vênus é o planeta mais quente do Sistema Solar com temperatura de 465°C devido ao efeito estufa extremo. Sua atmosfera é composta principalmente de dióxido de carbono e possui nuvens de ácido sulfúrico.,venus,planetas
4,"Terra é o único planeta conhecido com vida. Tem 71% de sua superfície coberta por água, atmosfera rica em oxigênio e nitrogênio, e está a 150 milhões de km do Sol.",terra,planetas
5,"Marte é conhecido como o Planeta Vermelho devido ao óxido de ferro em sua superfície. Tem calotas polares de gelo, o maior vulcão do Sistema Solar (Monte Olimpo) e evidências de água líquida no passado.",marte,planetas
6,"Júpiter é o maior planeta do Sistema Solar, tão grande que caberiam 1.300 Terras dentro dele. Tem uma tempestade gigante chamada Grande Mancha Vermelha que dura há mais de 300 anos e possui 95 luas conhecidas.",jupiter,planetas
7,"Saturno é famoso por seus espetaculares anéis compostos de gelo e rocha. É o segundo maior planeta e possui 146 luas conhecidas, sendo Titã a maior delas.",saturno,planetas
8,"Urano é um gigante de gelo que gira de lado, com seu eixo inclinado a 98 graus. Tem cor azul-esverdeada devido ao metano em sua atmosfera e 27 luas conhecidas.",urano,planetas
9,"Netuno é o planeta mais distante do Sol e também é azul devido ao metano. Tem os ventos mais fortes do Sistema Solar, chegando a 2.000 km/h, e possui 14 luas conhecidas.",netuno,planetas
10,Plutão foi rebaixado a planeta anão em 2006 porque não limpou sua órbita de outros objetos. Está no Cinturão de Kuiper e leva 248 anos para dar uma volta ao redor do Sol.,plutao,planetas
11,"Uma estrela é uma esfera gigante de plasma que produz luz e calor através de fusão nuclear. Em seu núcleo, átomos de hidrogênio se fundem formando hélio e liberando energia.",estrelas,conceitos
12,"As estrelas nascem em nebulosas, que são nuvens de gás e poeira. A gravidade comprime o material até que a temperatura e pressão sejam altas o suficiente para iniciar a fusão nuclear.",estrelas,formacao
13,"O Sol é uma estrela de tamanho médio que está a 150 milhões de km da Terra. Tem 4,6 bilhões de anos e ainda viverá por mais 5 bilhões de anos. Sua temperatura superficial é de 5.500°C e no núcleo chega a 15 milhões de °C.",sol,estrelas
14,"Quando o Sol morrer, ele se expandirá em uma gigante vermelha, engolindo Mercúrio e Vênus, e possivelmente a Terra. Depois, ejetará suas camadas externas formando uma nebulosa planetária e seu núcleo se tornará uma anã branca.",sol,ciclo_vida
15,"A estrela mais próxima da Terra (além do Sol) é Proxima Centauri, a 4,24 anos-luz de distância. Isso significa que sua luz leva 4,24 anos para chegar até nós.",estrelas,distancias
16,Uma supernova é a explosão de uma estrela massiva no final de sua vida. É tão brilhante que pode ofuscar uma galáxia inteira por algumas semanas. Elementos pesados como ouro e prata são formados em supernovas.,supernovas,estrelas
17,"Estrelas cadentes não são estrelas, são meteoros! São pequenos pedaços de rocha e metal que entram na atmosfera terrestre e queimam devido ao atrito, criando um rastro luminoso no céu.",meteoros,fenomenos
18,"Existem aproximadamente 100 a 400 bilhões de estrelas só na Via Láctea. No universo observável, estima-se que existam cerca de 200 bilhões de trilhões de estrelas (2×10²³).",estrelas,quantidade
19,"As estrelas piscam porque sua luz passa através da atmosfera turbulenta da Terra. O ar em movimento distorce a luz, fazendo a estrela parecer piscar. No espaço, as estrelas não piscam.",estrelas,fenomenos
20,"Uma galáxia é um sistema gravitacionalmente ligado de estrelas, gás, poeira e matéria escura. Existem trilhões de galáxias no universo observável, cada uma contendo bilhões ou trilhões de estrelas.",galaxias,conceitos
21,Nossa galáxia se chama Via Láctea e é uma galáxia espiral barrada com cerca de 200 a 400 bilhões de estrelas. Tem aproximadamente 100.000 anos-luz de diâmetro e nosso Sistema Solar está a cerca de 26.000 anos-luz do centro.,via_lactea,galaxias
22,"No centro da Via Láctea existe um buraco negro supermassivo chamado Sagitário A*, com massa equivalente a 4 milhões de sóis. Praticamente todas as grandes galáxias têm um buraco negro supermassivo em seu centro.",via_lactea,centro
23,"A Via Láctea está em rota de colisão com a galáxia de Andrômeda! Elas se chocarão em cerca de 4,5 bilhões de anos, fundindo-se em uma galáxia elíptica gigante que os cientistas chamam de Milkomeda.",galaxias,futuro
24,"Existem cerca de 2 trilhões de galáxias no universo observável. Elas vêm em diferentes formas: espirais (como a Via Láctea), elípticas, irregulares e lenticulares.",galaxias,quantidade
25,Um buraco negro é uma região do espaço onde a gravidade é tão forte que nem mesmo a luz pode escapar. Ele se forma quando uma estrela muito massiva (mais de 25 vezes a massa do Sol) colapsa sobre si mesma.,buracos_negros,conceitos
26,"Buracos negros não engolem tudo como um aspirador de pó cósmico. Eles afetam apenas objetos que chegam muito perto. Se o Sol fosse substituído por um buraco negro de mesma massa, a órbita da Terra não mudaria.",buracos_negros,mitos
27,"Se você caísse em um buraco negro, experimentaria a espaguetificação: a diferença de gravidade entre sua cabeça e pés seria tão grande que você seria esticado como um espaguete. Para observadores externos, você pareceria congelar no tempo ao cruzar o horizonte de eventos.",buracos_negros,efeitos
28,"Buracos negros podem evaporar através da Radiação de Hawking, um processo quântico previsto por Stephen Hawking. No entanto, isso levaria trilhões de anos para buracos negros estelares e muito mais para os supermassivos.",buracos_negros,evaporacao
29,"O buraco negro supermassivo mais próximo da Terra está no centro da Via Láctea, a 26.000 anos-luz de distância. Não há risco de ele nos engolir - estamos seguros em nossa órbita ao redor da galáxia.",buracos_negros,seguranca
30,"A primeira pessoa no espaço foi o cosmonauta soviético Yuri Gagarin, em 12 de abril de 1961. Ele completou uma órbita ao redor da Terra a bordo da nave Vostok 1.",exploracao,historia
31,"Neil Armstrong e Buzz Aldrin foram os primeiros humanos a pisar na Lua em 20 de julho de 1969, durante a missão Apollo 11. Armstrong disse a famosa frase: That's one small step for man, one giant leap for mankind.",lua,historia
32,"Ainda não enviamos astronautas para Marte, mas já enviamos vários rovers robóticos. Atualmente, os rovers Perseverance e Curiosity estão explorando a superfície marciana, buscando sinais de vida passada.",marte,exploracao
33,"Uma viagem para Marte leva cerca de 6 a 9 meses com a tecnologia atual, dependendo da posição dos planetas. A distância entre Terra e Marte varia de 54,6 milhões a 401 milhões de km.",marte,viagem
34,A Estação Espacial Internacional (ISS) é um laboratório orbital que orbita a Terra a 400 km de altitude. É uma colaboração de 15 países e sempre tem 6 ou 7 astronautas vivendo e trabalhando nela.,iss,exploracao
35,"Até agora, não encontramos evidências definitivas de vida extraterrestre. Mas há bilhões de planetas na zona habitável de suas estrelas só na Via Láctea. Missões como o telescópio James Webb estão procurando biosignaturas em exoplanetas.",vida,busca
36,"Existem planos para estabelecer uma base permanente na Lua na década de 2030 e eventualmente enviar humanos para Marte. A SpaceX, NASA e outras agências espaciais estão desenvolvendo tecnologia para tornar isso possível.",futuro,colonizacao
37,"O Big Bang foi a expansão explosiva do universo a partir de um estado extremamente quente e denso há cerca de 13,8 bilhões de anos. Não foi uma explosão no espaço, mas sim a expansão do próprio espaço.",big_bang,origem
38,"Sim, o universo está se expandindo! Edwin Hubble descobriu isso em 1929. E mais surpreendente: a expansão está acelerando, provavelmente devido à energia escura, uma força misteriosa que compõe 68% do universo.",expansao,universo
39,O universo observável tem cerca de 93 bilhões de anos-luz de diâmetro. Mas o universo total pode ser infinitamente maior - ou até infinito. Só conseguimos ver até onde a luz teve tempo de chegar desde o Big Bang.,tamanho,universo
40,"Não sabemos se o universo tem fim. Ele pode ser infinito, ou pode ter uma curvatura que o torna finito mas sem bordas (como a superfície de uma esfera). As medições atuais sugerem que é quase perfeitamente plano.",forma,universo
41,Asteroides são rochas espaciais que variam de alguns metros a centenas de quilômetros de diâmetro. A maioria está no Cinturão de Asteroides entre Marte e Júpiter. Alguns passam perto da Terra e são monitorados para prevenir impactos.,asteroides,objetos
42,"Cometas são bolas de gelo, poeira e rochas que orbitam o Sol em órbitas elípticas. Quando se aproximam do Sol, o gelo sublima formando uma coma brilhante e uma cauda que pode ter milhões de km de comprimento.",cometas,objetos
43,"Um eclipse solar ocorre quando a Lua passa entre a Terra e o Sol, bloqueando sua luz. Um eclipse lunar ocorre quando a Terra fica entre o Sol e a Lua, projetando sua sombra na Lua.",eclipses,fenomenos
44,"O céu é escuro no espaço porque não há atmosfera para espalhar a luz. Na Terra, o céu é azul porque nossa atmosfera espalha a luz azul do Sol em todas as direções. No espaço, você vê apenas as estrelas contra o fundo negro.",espaco,fenomenos
45,"Matéria escura é uma forma invisível de matéria que não emite, absorve ou reflete luz, mas exerce força gravitacional. Compõe cerca de 27% do universo. Sabemos que existe porque vemos seus efeitos gravitacionais em galáxias e aglomerados.",materia_escura,misterios
46,Constelações são padrões de estrelas que as civilizações antigas imaginavam no céu. Elas não existem fisicamente - as estrelas de uma constelação geralmente estão a distâncias muito diferentes de nós. Existem 88 constelações oficialmente reconhecidas.,constelacoes,cultura
47,"A luz viaja a 299.792 km por segundo - rápido o suficiente para dar 7,5 voltas ao redor da Terra em um segundo! Um ano-luz é a distância que a luz percorre em um ano: cerca de 9,5 trilhões de km.",luz,medidas
48,"O telescópio espacial James Webb, lançado em 2021, é o telescópio mais poderoso já construído. Ele observa no infravermelho e pode ver galáxias que se formaram apenas 200 milhões de anos após o Big Bang.",telescopios,tecnologia
49,"A temperatura no espaço varia extremamente. Longe de estrelas, pode chegar a -270°C (apenas 3°C acima do zero absoluto). Perto de estrelas ou em órbita da Terra ao Sol, pode ultrapassar 120°C.",temperatura,espaco
50,"A gravidade não desaparece no espaço! Astronautas na ISS experimentam cerca de 90% da gravidade da superfície terrestre. Eles flutuam porque estão em queda livre contínua ao redor da Terra, criando a sensação de ausência de gravidade.",gravidade,conceitos
