pergunta,resposta,categoria
O que é astrologia?,"Astrologia é o estudo da influência dos corpos celestes (planetas, estrelas, lua, sol) sobre a vida humana e eventos terrestres. Baseia-se na crença de que a posição desses astros no momento do nascimento pode revelar características de personalidade e tendências de vida.",conceitos_basicos
O que é um mapa astral?,"O mapa astral, também chamado de carta natal, é um diagrama que mostra a posição exata dos planetas, signos e casas astrológicas no momento e local do seu nascimento. É como uma fotografia do céu naquele momento específico. Ele revela não apenas seu signo solar, mas também lua, ascendente e posições de todos os planetas.",mapa_astral
"Qual a diferença entre signo solar, lunar e ascendente?","O signo solar (seu signo principal) representa sua essência e ego, é determinado pelo dia e mês de nascimento. O signo lunar revela suas emoções e mundo interior, determinado pela posição da Lua no nascimento. O ascendente é como você se apresenta ao mundo, sua primeira impressão, determinado pelo horário exato de nascimento.",conceitos_basicos
Quantos signos existem?,"Existem 12 signos do zodíaco: Áries, Touro, Gêmeos, Câncer, Leão, Virgem, Libra, Escorpião, Sagitário, Capricórnio, Aquário e Peixes. Cada um ocupa 30 graus do círculo zodiacal de 360 graus.",signos
O que são os 4 elementos na astrologia?,"Os 4 elementos são Fogo (Áries, Leão, Sagitário - energéticos e apaixonados), Terra (Touro, Virgem, Capricórnio - práticos e estáveis), Ar (Gêmeos, Libra, Aquário - intelectuais e comunicativos) e Água (Câncer, Escorpião, Peixes - emocionais e intuitivos).",elementos
O que significa ser de Áries?,"Ser de Áries significa ter nascido entre 21 de março e 19 de abril. Arianos são conhecidos por serem corajosos, determinados, energéticos e líderes natos. São regidos por Marte, o planeta da ação, e pertencem ao elemento Fogo. Tendem a ser impulsivos, competitivos e pioneiros.",signos
Signos de fogo são compatíveis com signos de água?,"Fogo e Água podem ter uma relação desafiadora mas intensa. A água pode apagar o fogo ou o fogo pode evaporar a água. No entanto, quando equilibrados, o fogo traz paixão e a água traz profundidade emocional. Requer esforço e compreensão mútua.",compatibilidade
O que são casas astrológicas?,"As 12 casas astrológicas representam diferentes áreas da vida: Casa 1 (identidade), 2 (finanças), 3 (comunicação), 4 (lar), 5 (criatividade), 6 (saúde e trabalho), 7 (relacionamentos), 8 (transformação), 9 (filosofia), 10 (carreira), 11 (amizades), 12 (espiritualidade).",mapa_astral
O que é Mercúrio retrógrado?,"Mercúrio retrógrado é um fenômeno astronômico onde Mercúrio parece se mover para trás no céu. Na astrologia, é associado a problemas de comunicação, atrasos tecnológicos, revisões de contratos e reencontros do passado. Ocorre 3-4 vezes por ano por cerca de 3 semanas.",planetas
Qual signo é mais compatível com Leão?,"Leão é mais compatível com outros signos de Fogo (Áries e Sagitário) que compartilham sua paixão e energia, e com signos de Ar (Gêmeos e Libra) que admiram seu brilho e criatividade. Áries e Leão formam uma dupla poderosa e dinâmica.",compatibilidade
Quais as características de Áries?,"Áries (21/03 a 19/04) é um signo de Fogo, regido por Marte. Suas principais características são: Corajoso, determinado, confiante, entusiasmado, otimista, honesto, apaixonado. Pontos fracos incluem: Impaciente, mal-humorado, agressivo, impulsivo.",signos
Com quais signos Áries é compatível?,"Áries é mais compatível com: Leão, Sagitário, Gêmeos, Aquário. Esses signos compartilham energias harmoniosas e podem formar relacionamentos equilibrados.",compatibilidade
Qual o elemento de Áries?,"Áries pertence ao elemento Fogo, que representa características como energia e paixão.",elementos
Quais as características de Touro?,"Touro (20/04 a 20/05) é um signo de Terra, regido por Vênus. Suas principais características são: Confiável, paciente, prático, devotado, responsável, estável, leal. Pontos fracos incluem: Teimoso, possessivo, inflexível, materialista.",signos
Com quais signos Touro é compatível?,"Touro é mais compatível com: Virgem, Capricórnio, Câncer, Peixes. Esses signos compartilham energias harmoniosas e podem formar relacionamentos equilibrados.",compatibilidade
Qual o elemento de Touro?,"Touro pertence ao elemento Terra, que representa características como praticidade e estabilidade.",elementos
Quais as características de Gêmeos?,"Gêmeos (21/05 a 20/06) é um signo de Ar, regido por Mercúrio. Suas principais características são: Gentil, comunicativo, adaptável, curioso, versátil, divertido. Pontos fracos incluem: Nervoso, inconsistente, indeciso, superficial.",signos
Com quais signos Gêmeos é compatível?,"Gêmeos é mais compatível com: Libra, Aquário, Áries, Leão. Esses signos compartilham energias harmoniosas e podem formar relacionamentos equilibrados.",compatibilidade
Qual o elemento de Gêmeos?,"Gêmeos pertence ao elemento Ar, que representa características como intelecto e comunicação.",elementos
Quais as características de Câncer?,"Câncer (21/06 a 22/07) é um signo de Água, regido por Lua. Suas principais características são: Terno, protetor, emocional, intuitivo, compassivo, familiar. Pontos fracos incluem: Mal-humorado, pessimista, desconfiado, manipulador.",signos
Com quais signos Câncer é compatível?,"Câncer é mais compatível com: Escorpião, Peixes, Touro, Virgem. Esses signos compartilham energias harmoniosas e podem formar relacionamentos equilibrados.",compatibilidade
Qual o elemento de Câncer?,"Câncer pertence ao elemento Água, que representa características como emoção e intuição.",elementos
Quais as características de Leão?,"Leão (23/07 a 22/08) é um signo de Fogo, regido por Sol. Suas principais características são: Criativo, apaixonado, generoso, caloroso, alegre, carismático. Pontos fracos incluem: Arrogante, teimoso, egoísta, inflexível, dramático.",signos
Com quais signos Leão é compatível?,"Leão é mais compatível com: Áries, Sagitário, Gêmeos, Libra. Esses signos compartilham energias harmoniosas e podem formar relacionamentos equilibrados.",compatibilidade
Qual o elemento de Leão?,"Leão pertence ao elemento Fogo, que representa características como energia e paixão.",elementos
Quais as características de Virgem?,"Virgem (23/08 a 22/09) é um signo de Terra, regido por Mercúrio. Suas principais características são: Leal, analítico, prático, trabalhador, organizado, perfeccionista. Pontos fracos incluem: Tímido, preocupado, crítico demais, pessimista.",signos
Com quais signos Virgem é compatível?,"Virgem é mais compatível com: Touro, Capricórnio, Câncer, Escorpião. Esses signos compartilham energias harmoniosas e podem formar relacionamentos equilibrados.",compatibilidade
Qual o elemento de Virgem?,"Virgem pertence ao elemento Terra, que representa características como praticidade e estabilidade.",elementos
Quais as características de Libra?,"Libra (23/09 a 22/10) é um signo de Ar, regido por Vênus. Suas principais características são: Cooperativo, diplomático, gracioso, justo, social, equilibrado. Pontos fracos incluem: Indeciso, evita confrontos, guarda rancor, autocomplacente.",signos
Com quais signos Libra é compatível?,"Libra é mais compatível com: Gêmeos, Aquário, Leão, Sagitário. Esses signos compartilham energias harmoniosas e podem formar relacionamentos equilibrados.",compatibilidade
Qual o elemento de Libra?,"Libra pertence ao elemento Ar, que representa características como intelecto e comunicação.",elementos
Quais as características de Escorpião?,"Escorpião (23/10 a 21/11) é um signo de Água, regido por Plutão, Marte. Suas principais características são: Determinado, corajoso, leal, ambicioso, intuitivo, apaixonado. Pontos fracos incluem: Ciumento, secreto, vingativo, desconfiado, obsessivo.",signos
Com quais signos Escorpião é compatível?,"Escorpião é mais compatível com: Câncer, Peixes, Virgem, Capricórnio. Esses signos compartilham energias harmoniosas e podem formar relacionamentos equilibrados.",compatibilidade
Qual o elemento de Escorpião?,"Escorpião pertence ao elemento Água, que representa características como emoção e intuição.",elementos
Quais as características de Sagitário?,"Sagitário (22/11 a 21/12) é um signo de Fogo, regido por Júpiter. Suas principais características são: Generoso, idealista, ótimo senso de humor, aventureiro, filosófico. Pontos fracos incluem: Impaciente, promete demais, irresponsável, tátil.",signos
Com quais signos Sagitário é compatível?,"Sagitário é mais compatível com: Áries, Leão, Libra, Aquário. Esses signos compartilham energias harmoniosas e podem formar relacionamentos equilibrados.",compatibilidade
Qual o elemento de Sagitário?,"Sagitário pertence ao elemento Fogo, que representa características como energia e paixão.",elementos
Quais as características de Capricórnio?,"Capricórnio (22/12 a 19/01) é um signo de Terra, regido por Saturno. Suas principais características são: Responsável, disciplinado, autocontrolado, ambicioso, prático. Pontos fracos incluem: Desconfiado, pessimista, rígido, teimoso, workaholic.",signos
Com quais signos Capricórnio é compatível?,"Capricórnio é mais compatível com: Touro, Virgem, Escorpião, Peixes. Esses signos compartilham energias harmoniosas e podem formar relacionamentos equilibrados.",compatibilidade
Qual o elemento de Capricórnio?,"Capricórnio pertence ao elemento Terra, que representa características como praticidade e estabilidade.",elementos
Quais as características de Aquário?,"Aquário (20/01 a 18/02) é um signo de Ar, regido por Urano, Saturno. Suas principais características são: Progressivo, original, independente, humanitário, visionário. Pontos fracos incluem: Teimoso, distante emocionalmente, temperamental, inflexível.",signos
Com quais signos Aquário é compatível?,"Aquário é mais compatível com: Gêmeos, Libra, Áries, Sagitário. Esses signos compartilham energias harmoniosas e podem formar relacionamentos equilibrados.",compatibilidade
Qual o elemento de Aquário?,"Aquário pertence ao elemento Ar, que representa características como intelecto e comunicação.",elementos
Quais as características de Peixes?,"Peixes (19/02 a 20/03) é um signo de Água, regido por Netuno, Júpiter. Suas principais características são: Compassivo, artístico, intuitivo, gentil, sábio, musical. Pontos fracos incluem: Muito confiante, triste, deseja escapar da realidade, vítima.",signos
Com quais signos Peixes é compatível?,"Peixes é mais compatível com: Câncer, Escorpião, Touro, Capricórnio. Esses signos compartilham energias harmoniosas e podem formar relacionamentos equilibrados.",compatibilidade
Qual o elemento de Peixes?,"Peixes pertence ao elemento Água, que representa características como emoção e intuição.",elementos
